onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	2	1	1.214	post.bmp	cost.bmp
4.035000000000004	4.0	5	1	1.98	blackcross.bmp	blackcross.bmp
8.055999999999997	4.4	6	1	1.161	o.bmp	p.bmp
12.465000000000003	4.0	3	1	1.641	rum.bmp	numb.bmp
16.473	4.8	5	1	1.752	blackcross.bmp	blackcross.bmp
21.281999999999996	4.0	6	1	1.003	c.bmp	u.bmp
25.290000000000006	4.0	1	1	1.749	fought.bmp	sought.bmp
29.298000000000002	4.0	1	1	1.516	scheme.bmp	theme.bmp
33.306	4.0	6	1	1.436	m.bmp	n.bmp
37.31400000000001	4.4	1	1	2.084	stool.bmp	fool.bmp
41.721999999999994	4.4	5	1	1.699	blackcross.bmp	blackcross.bmp
46.131	4.4	1	1	1.651	soak.bmp	oak.bmp
50.540000000000006	4.4	2	1	1.558	threat.bmp	wheat.bmp
54.94800000000001	4.0	1	1	1.586	thread.bmp	spread.bmp
58.956	4.4	3	1	1.943	pile.bmp	trial.bmp
63.364999999999995	4.8	4	1	1.838	swap.bmp	watch.bmp
68.174	4.8	5	1	2.018	blackcross.bmp	blackcross.bmp
72.984	4.4	5	1	2.471	blackcross.bmp	blackcross.bmp
77.392	4.4	4	1	1.193	tough.bmp	dull.bmp
81.801	4.8	6	1	1.214	w.bmp	e.bmp
86.61099999999999	4.8	1	1	1.315	sweep.bmp	creep.bmp
91.41999999999999	4.8	6	1	1.687	k.bmp	t.bmp
96.22900000000001	4.4	5	1	1.714	blackcross.bmp	blackcross.bmp
100.638	4.4	3	1	1.553	stroke.bmp	soak.bmp
105.047	4.4	4	1	2.328	trial.bmp	fall.bmp
109.45500000000001	4.8	6	1	2.461	k.bmp	l.bmp
114.26499999999999	4.0	5	1	2.582	blackcross.bmp	blackcross.bmp
118.273	4.4	5	1	1.967	blackcross.bmp	blackcross.bmp
122.68100000000001	4.4	5	1	1.64	blackcross.bmp	blackcross.bmp
127.09	4.4	5	1	1.355	blackcross.bmp	blackcross.bmp
131.499	4.0	1	1	1.405	beef.bmp	reef.bmp
135.507	4.0	5	1	1.822	blackcross.bmp	blackcross.bmp
139.514	4.8	2	0	n/a	wart.bmp	smart.bmp
144.324	4.8	2	1	1.583	dose.bmp	pose.bmp
149.133	4.4	5	1	1.687	blackcross.bmp	blackcross.bmp
153.542	4.0	2	1	1.261	touch.bmp	couch.bmp
157.55	4.0	6	1	1.219	v.bmp	m.bmp
161.558	4.8	5	1	2.08	blackcross.bmp	blackcross.bmp
166.367	4.8	5	1	2.032	blackcross.bmp	blackcross.bmp
171.177	4.4	5	1	2.107	blackcross.bmp	blackcross.bmp
175.585	4.0	5	1	1.706	blackcross.bmp	blackcross.bmp
179.593	4.8	5	1	2.348	blackcross.bmp	blackcross.bmp
184.403	4.4	4	1	1.019	port.bmp	warm.bmp
188.811	4.8	3	1	1.43	june.bmp	noon.bmp
193.621	4.4	4	0	n/a	wreath.bmp	leap.bmp
198.029	4.0	5	1	1.855	blackcross.bmp	blackcross.bmp
202.037	4.4	6	1	1.184	c.bmp	d.bmp
206.446	4.4	2	1	1.082	glove.bmp	stove.bmp
210.855	4.8	1	1	2.017	numb.bmp	crumb.bmp
215.664	4.8	2	1	1.614	stood.bmp	flood.bmp
220.473	4.4	6	1	1.539	i.bmp	j.bmp
224.882	4.8	4	1	1.789	smart.bmp	drought.bmp
229.692	4.4	3	1	1.163	stir.bmp	blur.bmp
234.10000000000002	4.4	5	1	1.761	blackcross.bmp	blackcross.bmp
238.50900000000001	4.8	5	1	1.919	blackcross.bmp	blackcross.bmp
243.31799999999998	4.8	2	1	1.27	pool.bmp	wool.bmp
248.128	4.0	5	1	1.896	blackcross.bmp	blackcross.bmp
252.13600000000002	4.4	5	1	1.802	blackcross.bmp	blackcross.bmp
256.544	4.4	2	1	2.229	fought.bmp	drought.bmp
260.953	4.0	3	1	1.269	flight.bmp	spite.bmp
264.961	4.4	3	1	0.981	scheme.bmp	cream.bmp
269.369	4.0	6	1	1.156	z.bmp	g.bmp
273.377	4.8	4	1	1.802	ghost.bmp	pose.bmp
278.187	4.4	5	1	1.813	blackcross.bmp	blackcross.bmp
282.595	4.0	4	1	1.338	grace.bmp	fence.bmp
286.603	4.0	4	1	1.409	dried.bmp	stood.bmp
290.611	4.0	4	1	1.915	ford.bmp	rod.bmp
294.619	4.4	1	1	2.276	strap.bmp	gap.bmp
299.028	4.8	6	1	1.368	e.bmp	f.bmp
303.837	4.0	5	1	1.999	blackcross.bmp	blackcross.bmp
307.845	4.0	4	1	1.523	gross.bmp	post.bmp
311.853	4.0	4	1	1.665	fault.bmp	note.bmp
315.861	4.8	1	1	1.569	bull.bmp	full.bmp
320.67	4.8	3	1	1.809	chase.bmp	grace.bmp
325.48	4.0	3	1	1.647	float.bmp	note.bmp
329.488	4.8	3	1	1.574	bride.bmp	dried.bmp
334.297	4.8	4	1	1.586	thief.bmp	plead.bmp
339.106	4.4	1	1	2.057	bluff.bmp	puff.bmp
343.515	4.8	6	1	1.062	v.bmp	w.bmp
348.325	4.8	1	0	1.816	shove.bmp	glove.bmp
353.134	4.4	6	1	1.586	y.bmp	o.bmp
357.543	4.8	2	1	1.362	stamp.bmp	swamp.bmp
362.352	4.4	4	1	2.061	stamp.bmp	tomb.bmp
366.761	4.0	5	1	2.088	blackcross.bmp	blackcross.bmp
