onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	6	1	1.047	i.bmp	r.bmp
4.809000000000005	4.8	3	1	1.732	nuss.bmp	zus.bmp
9.619	4.4	3	0	1.155	slearn.bmp	zurn.bmp
14.028000000000006	4.0	3	1	2.268	plirk.bmp	swerk.bmp
18.035000000000004	4.0	3	1	1.42	pault.bmp	zalt.bmp
22.043	4.4	6	1	1.679	a.bmp	b.bmp
26.452000000000005	4.0	6	1	1.354	e.bmp	f.bmp
30.46	4.0	4	1	1.658	kearth.bmp	geath.bmp
34.467999999999996	4.8	4	1	3.363	preath.bmp	shworth.bmp
39.27700000000001	4.0	1	1	1.323	speal.bmp	cheal.bmp
43.285000000000004	4.8	5	1	1.37	blackcross.bmp	blackcross.bmp
48.095000000000006	4.4	6	1	1.305	w.bmp	e.bmp
52.50300000000001	4.4	2	0	2.235	crove.bmp	swove.bmp
56.912	4.4	3	1	2.932	dite.bmp	vight.bmp
61.321000000000005	4.0	2	0	n/a	creath.bmp	steath.bmp
65.32900000000001	4.0	3	1	1.045	kreens.bmp	speans.bmp
69.33600000000001	4.0	5	1	1.209	blackcross.bmp	blackcross.bmp
73.344	4.0	5	1	1.3	blackcross.bmp	blackcross.bmp
77.352	4.4	5	1	1.187	blackcross.bmp	blackcross.bmp
81.761	4.4	4	1	1.088	pread.bmp	slear.bmp
86.16999999999999	4.4	3	0	1.023	mide.bmp	nied.bmp
90.578	4.8	6	0	3.057	z.bmp	g.bmp
95.388	4.8	3	1	1.028	mense.bmp	shence.bmp
100.197	4.4	2	1	1.098	snull.bmp	chull.bmp
104.606	4.0	1	0	1.959	zite.bmp	pite.bmp
108.614	4.8	1	1	2.131	plapse.bmp	dapse.bmp
113.423	4.0	1	1	1.028	slutch.bmp	putch.bmp
117.43099999999998	4.0	5	1	2.219	blackcross.bmp	blackcross.bmp
121.439	4.0	5	1	1.195	blackcross.bmp	blackcross.bmp
125.447	4.0	5	1	1.215	blackcross.bmp	blackcross.bmp
129.45499999999998	4.8	2	1	2.327	nouth.bmp	scouth.bmp
134.26399999999998	4.4	6	1	2.271	y.bmp	o.bmp
138.673	4.8	3	1	1.622	splirt.bmp	furt.bmp
143.482	4.0	6	1	1.105	v.bmp	w.bmp
147.49	4.8	5	1	1.896	blackcross.bmp	blackcross.bmp
152.29999999999998	4.8	3	1	0.722	durf.bmp	merf.bmp
157.109	4.4	1	1	1.573	punge.bmp	crunge.bmp
161.518	4.8	5	1	2.052	blackcross.bmp	blackcross.bmp
166.327	4.8	5	1	1.452	blackcross.bmp	blackcross.bmp
171.137	4.8	5	1	1.12	blackcross.bmp	blackcross.bmp
175.946	4.0	5	1	1.093	blackcross.bmp	blackcross.bmp
179.954	4.8	5	1	1.46	blackcross.bmp	blackcross.bmp
184.763	4.0	2	0	2.332	twear.bmp	zear.bmp
188.771	4.4	1	1	1.321	pritz.bmp	vitz.bmp
193.18	4.0	2	0	1.164	spomb.bmp	clomb.bmp
197.188	4.8	1	1	1.026	snerge.bmp	gerge.bmp
201.99699999999999	4.8	5	1	1.103	blackcross.bmp	blackcross.bmp
206.807	4.4	6	1	1.185	v.bmp	m.bmp
211.216	4.8	4	1	1.512	shwarp.bmp	larm.bmp
216.02499999999998	4.0	2	0	n/a	larp.bmp	swarp.bmp
220.03300000000002	4.8	6	0	1.266	k.bmp	l.bmp
224.84199999999998	4.0	4	1	1.001	sull.bmp	trow.bmp
228.85000000000002	4.4	3	1	1.475	rith.bmp	nyth.bmp
233.25900000000001	4.4	4	1	1.684	palve.bmp	smove.bmp
237.668	4.0	2	1	2.385	shwarm.bmp	varm.bmp
241.675	4.0	4	1	1.159	zarp.bmp	twarm.bmp
245.683	4.8	5	1	1.44	blackcross.bmp	blackcross.bmp
250.493	4.8	4	1	1.12	glown.bmp	stomb.bmp
255.30200000000002	4.0	5	1	1.364	blackcross.bmp	blackcross.bmp
259.31	4.4	2	0	1.143	nearth.bmp	fearth.bmp
263.719	4.4	1	1	1.021	flirk.bmp	slirk.bmp
268.127	4.8	3	1	1.711	poat.bmp	wote.bmp
272.937	4.4	4	1	0.718	smow.bmp	vomb.bmp
277.346	4.4	5	1	2.082	blackcross.bmp	blackcross.bmp
281.754	4.0	3	0	1.31	twapse.bmp	praps.bmp
285.762	4.4	5	1	1.561	blackcross.bmp	blackcross.bmp
290.171	4.8	2	0	1.387	vose.bmp	plose.bmp
294.98	4.0	6	1	0.669	y.bmp	z.bmp
298.988	4.4	2	0	n/a	sworth.bmp	horth.bmp
303.397	4.4	5	1	1.152	blackcross.bmp	blackcross.bmp
307.806	4.8	4	1	1.118	plear.bmp	zour.bmp
312.615	4.4	2	0	1.738	tood.bmp	plood.bmp
317.024	4.4	1	1	2.437	sprune.bmp	yune.bmp
321.432	4.0	6	1	1.097	h.bmp	p.bmp
325.44	4.8	1	1	1.39	sterb.bmp	cherb.bmp
330.25	4.0	3	1	0.972	britz.bmp	swits.bmp
334.258	4.4	5	1	1.975	blackcross.bmp	blackcross.bmp
338.666	4.0	2	0	0.779	shrase.bmp	flase.bmp
342.674	4.0	1	1	0.44	brith.bmp	spith.bmp
346.682	4.8	5	1	1.063	blackcross.bmp	blackcross.bmp
351.491	4.4	5	1	1.209	blackcross.bmp	blackcross.bmp
355.9	4.8	1	1	0.837	yoat.bmp	zoat.bmp
360.71	4.8	2	0	0.499	grost.bmp	nost.bmp
365.519	5.2	5	0	n/a	blackcross.bmp	blackcross.bmp
