onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	5	1	1.342	lackcross.wav	lackcross.wav
4.834	4.4	2	1	1.171	post.wav	cost.wav
9.267	5.2	2	0	n/a	smooth.wav	tooth.wav
14.474999999999998	4.4	4	1	1.04	swap.wav	watch.wav
18.881000000000004	4.4	5	1	1.23	lackcross.wav	lackcross.wav
23.287000000000003	4.0	5	1	1.299	lackcross.wav	lackcross.wav
27.293000000000003	4.8	5	1	1.117	lackcross.wav	lackcross.wav
32.099999999999994	4.4	5	1	1.107	lackcross.wav	lackcross.wav
36.507000000000005	4.0	5	1	1.247	lackcross.wav	lackcross.wav
40.525999999999996	4.8	4	1	1.369	thief.wav	plead.wav
45.333	4.0	6	1	1.089	l.wav	d.wav
49.352000000000004	4.8	4	1	1.421	glow.wav	stove.wav
54.18599999999999	4.0	4	1	1.453	port.wav	warm.wav
58.205	4.4	5	1	1.34	lackcross.wav	lackcross.wav
62.61099999999999	4.0	2	1	0.968	fought.wav	drought.wav
66.63	4.0	5	1	1.325	lackcross.wav	lackcross.wav
70.649	4.0	6	1	1.07	v.wav	w.wav
74.682	4.0	1	1	1.747	glide.wav	bride.wav
78.714	4.8	2	0	0.993	scratch.wav	watch.wav
83.535	4.4	4	1	1.229	trial.wav	fall.wav
87.941	4.4	4	1	1.018	wreath.wav	leap.wav
92.36099999999999	4.8	2	1	1.068	both.wav	cloth.wav
97.16799999999999	4.4	6	1	1.277	r.wav	s.wav
101.61399999999999	4.0	4	1	1.433	grace.wav	fence.wav
105.634	4.8	5	1	1.059	lackcross.wav	lackcross.wav
110.43999999999998	4.4	2	0	1.522	pool.wav	wool.wav
114.87400000000001	4.4	1	1	1.329	shove.wav	glove.wav
119.27999999999999	4.0	5	1	1.458	lackcross.wav	lackcross.wav
123.29899999999999	4.0	1	1	1.376	scheme.wav	theme.wav
127.318	4.0	5	1	1.208	lackcross.wav	lackcross.wav
131.33700000000002	4.8	4	1	1.002	cream.wav	swarm.wav
136.144	4.0	6	1	1.117	k.wav	t.wav
140.16400000000002	4.4	1	1	1.291	harm.wav	farm.wav
144.57000000000002	4.0	5	1	1.096	lackcross.wav	lackcross.wav
148.589	4.4	6	1	1.258	i.wav	j.wav
153.00900000000001	4.0	5	1	1.075	lackcross.wav	lackcross.wav
157.02800000000002	4.0	3	0	1.253	june.wav	noon.wav
161.047	4.4	5	1	1.124	lackcross.wav	lackcross.wav
165.48000000000002	4.0	1	1	1.361	pile.wav	mile.wav
169.49900000000002	4.4	1	1	1.274	sweep.wav	creep.wav
173.906	4.0	3	0	1.387	stool.wav	rule.wav
177.925	4.0	5	1	1.212	lackcross.wav	lackcross.wav
181.94400000000002	4.4	5	1	1.199	lackcross.wav	lackcross.wav
186.364	4.0	5	1	1.242	lackcross.wav	lackcross.wav
190.383	4.0	5	1	1.174	lackcross.wav	lackcross.wav
194.40200000000002	4.4	5	1	1.286	lackcross.wav	lackcross.wav
198.822	4.4	3	1	1.063	pile.wav	trial.wav
203.24200000000002	4.8	6	1	0.981	z.wav	g.wav
208.049	4.8	5	1	1.203	lackcross.wav	lackcross.wav
212.85600000000002	4.4	4	0	1.554	gross.wav	post.wav
217.262	4.8	3	1	1.685	wheel.wav	deal.wav
222.08200000000002	4.8	3	1	1.201	flight.wav	spite.wav
226.90300000000002	4.8	2	1	1.506	tomb.wav	comb.wav
231.71	4.0	6	1	1.021	k.wav	l.wav
235.729	4.4	6	1	1.247	a.wav	b.wav
240.13500000000002	4.4	3	1	1.396	bluff.wav	tough.wav
244.542	4.0	5	1	1.239	lackcross.wav	lackcross.wav
248.561	4.0	3	1	1.256	chase.wav	grace.wav
252.607	4.4	3	1	1.164	roast.wav	ghost.wav
257.013	4.0	5	1	1.023	lackcross.wav	lackcross.wav
261.032	4.8	6	1	0.83	w.wav	e.wav
265.839	4.4	2	1	0.92	swarm.wav	harm.wav
270.272	4.4	1	1	1.096	goat.wav	float.wav
274.692	4.4	6	1	0.989	m.wav	n.wav
279.11199999999997	4.8	3	1	1.18	stir.wav	blur.wav
283.919	4.8	5	1	1.236	lackcross.wav	lackcross.wav
288.726	4.0	5	1	1.279	lackcross.wav	lackcross.wav
292.745	4.4	2	1	1.004	threat.wav	wheat.wav
297.151	4.8	6	1	0.79	j.wav	b.wav
301.95799999999997	4.4	4	1	1.286	youth.wav	hint.wav
306.378	4.4	6	1	0.985	a.wav	s.wav
310.798	4.8	5	1	0.968	lackcross.wav	lackcross.wav
315.60499999999996	4.0	3	1	1.547	quart.wav	port.wav
319.62399999999997	4.4	3	1	0.92	soup.wav	loop.wav
324.03	5.2	4	0	n/a	stamp.wav	tomb.wav
329.264	4.8	1	0	1.177	neat.wav	wheat.wav
334.09799999999996	4.8	1	1	0.864	strap.wav	gap.wav
338.93199999999996	4.4	2	1	1.13	dose.wav	pose.wav
343.33799999999997	4.8	4	1	1.498	flight.wav	threat.wav
348.145	4.8	4	1	1.065	rule.wav	blur.wav
352.952	4.0	5	1	1.008	lackcross.wav	lackcross.wav
356.971	4.4	5	1	1.099	lackcross.wav	lackcross.wav
361.378	4.8	5	1	1.126	lackcross.wav	lackcross.wav
366.185	5.2	1	0	n/a	bull.wav	full.wav
